<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=INTERSECTION; loc=8; clockwise=4>, 
<TrackPiece type=INTERSECTION; loc=8; clockwise=4>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=STRAIGHT; loc=2; clockwise=7>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
TrackPiece type=INTERSECTION; loc=12; clockwise=4>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=INTERSECTION; loc=4; clockwise=4>, 
<TrackPiece type=STRAIGHT; loc=45; clockwise=71>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=STRAIGHT; loc=2; clockwise=7>, 
<TrackPiece type=CURVE; loc=35; clockwise=71>, 
<TrackPiece type=FINISH; loc=1; clockwise=7>, 
<TrackPiece type=START; loc=0; clockwise=7>
